url;status
http://www.crestonwood.com/router.php;legitimate
http://rgipt.ac.in;legitimate
http://www.iracing.com/tracks/gateway-motorsports-park/;legitimate
http://www.mutuo.it;legitimate
http://vamoaestudiarmedicina.blogspot.com/;legitimate
https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/;legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp;legitimate
https://www.lifewire.com/tcp-port-21-818146;legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/;legitimate
https://www.missfiga.com/;legitimate
https://www.chiefarchitect.com/;legitimate
http://www.2345daohang.com/;legitimate
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/;legitimate
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark;legitimate
http://sophie-world.com/games/port-and-starboard;legitimate
https://www.provenancevineyards.com/;legitimate
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/;legitimate
http://www.enkiquotes.com/;legitimate
https://answers.yahoo.com/question/index?qid=20060914152716AAZTOSo;legitimate
https://www.chiostrodelbramante.it/;legitimate
http://yummy-cummy-in-my-tummy.tumblr.com;legitimate
http://www.j-net.cn/cms;legitimate
http://press-preview.weebly.com;legitimate
http://taccs.hu;legitimate
http://wiki.openstreetmap.org/wiki/Databases_and_data_access_APIs;legitimate
https://www.merriam-webster.com/dictionary/tabloid;legitimate
https://www.bls.gov/oes/current/oes292035.htm;legitimate
https://ru.wikipedia.org/wiki/MultiMedia_Card;legitimate
http://searchnetworking.techtarget.com/tip/Comparisons-of-coaxial-cable-fiber-optic-cable-and-twisted-pair-cable;legitimate
https://www.provenancevineyards.com/our-wines;legitimate
http://support.brother.com/g/s/id/pdf_pub/faq/faq002478/en/Scan_To_FTP.pdf;legitimate
http://www.excel-easy.com/examples/shortest-path-problem.html;legitimate
http://stattrek.com/statistics/dictionary.aspx?definition=standard%20error;legitimate
http://www.flaticon.com/free-icons/parking_403;legitimate
http://www.bobsplans.com/FreeDownloads/RouterTable.pdf;legitimate
https://en.wikipedia.org/wiki/NIC_Bank;legitimate
http://www.history.com/topics/american-civil-war/gettysburg-address;legitimate
http://remontka.pro/mac-address/;legitimate
https://en.wikipedia.org/wiki/Gateway;legitimate
https://twitter.com/mimosagrillclt;legitimate
http://www.calculate.co.il/;legitimate
http://www.whio.com/news/local/thief-breaks-into-save-lot-steals-steaks-dayton/dX1YgaOZ7zmj18bPd4tU6L/;legitimate
https://www.markspcsolution.com/;legitimate
https://www.mummyandmini.com/;legitimate
https://www.showplaceicon.com/Browsing/Cinemas/Details/8863;legitimate
http://securityxploded.com/router-password-kracker.php;legitimate
http://www.ilovefreesoftware.com/16/featured/5-best-free-network-packet-sniffer.html;legitimate
https://apshop.vn/;legitimate
https://www.facebook.com/thekeyboardcat;legitimate
https://www.soul-flower.com/;legitimate
http://www.tech-faq.com/mms.html;legitimate
http://www.inquirelive.co.uk/;legitimate
https://www.wordnik.com/words/blackletter;legitimate
https://www.gadgetzone.com.my/;legitimate
http://ru.dictionarist.com/iconoclast;legitimate
http://smallbusiness.chron.com/enabling-google-chrome-menu-bar-78783.html;legitimate
https://coderwall.com/p/kvzbpa/don-t-use-array-foreach-use-for-instead;legitimate
http://www.wealthdaily.com/articles/nokia-stock/2147;legitimate
https://www.emploi-petrole.com/;legitimate
http://dic.academic.ru/dic.nsf/ruwiki/1425594;legitimate
http://www.biology4kids.com/files/cell2_activetran.html;legitimate
https://www.namecheap.com/domains/registration.aspx;legitimate
https://www.zeitschriften-abo.de/DE/NVG/;legitimate
https://security.radware.com/ddos-knowledge-center/DDoSPedia/command-and-control-server/;legitimate
https://www.iconfinder.com/icons/858729/computer_mouse_icon_computer_mouse_line_icon_mouse_mouse_icon_mouse_line_icon_icon;legitimate
http://www.audioenglish.org/dictionary/resolution.htm;legitimate
http://www.speedcamupdates.com/;legitimate
https://www.parkwhiz.com/p/new-york-parking/map/;legitimate
http://www.routeralley.com/guides/nat.pdf;legitimate
http://barbo.sk;legitimate
http://www.vpi.us/cat5-5e-6-standards.html;legitimate
http://fitnessista.com/the-perfect-protein-pancake/;legitimate
http://animaldiversity.org/accounts/Mus_musculus/;legitimate
https://www.walmart.com/c/ep/cat6-ethernet-cables;legitimate
http://science.howstuffworks.com/warp-speed2.htm;legitimate
http://www.sportshub.com.sg/Directions/Documents/Sports-Hub-Traffic-Brochure.pdf;legitimate
http://www.srnonline.com/show-clocks;legitimate
https://www.metal-supply.dk/;legitimate
https://www.net.com.br/;legitimate
https://www.slideshare.net/ashamsvk/project-report-on-digital-media-marketing;legitimate
http://www.metalinjection.net/reviews/album-review-lord-mantis-death-mask;legitimate
https://www.youtube.com/user/PING;legitimate
https://learn.sparkfun.com/tutorials/16;legitimate
https://www.workiva.com/;legitimate
https://www.jobchannel.ch/;legitimate
https://fas.org/sgp/crs/misc/R42078.pdf;legitimate
http://www.matrixlab-examples.com/line-segment.html;legitimate
https://www.slant.co/topics/2404/~file-managers-for-windows;legitimate
https://www.computerhope.com/jargon/p/paraport.htm;legitimate
http://www.apkhere.com/app/com.smartprojects.ramoptimization;legitimate
http://bangla.plus;legitimate
https://norecipes.com/japanese-curry-scratch;legitimate
https://en.wikipedia.org/wiki/Incorporation_of_the_Bill_of_Rights;legitimate
http://www.abbreviations.com/term/16642;legitimate
http://www.cnc-club.ru/forum/index.php;legitimate
https://www.colgate.com/en-us/products/enamel-health;legitimate
https://estacaoxxx.wordpress.com/;legitimate
http://careers.stateuniversity.com/pages/100000947/Search-Engines-Future-User-Preferences-Artificial-Intelligence.html;legitimate
http://energo-investment.hu;legitimate
members.shaw.ca/cue64/;legitimate
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4;phishing
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_;phishing
http://appleid.apple.com-app.es/;phishing
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531;phishing
http://html.house/l7ceeid6.html;phishing
http://wave.progressfilm.co.uk/time3/?logon=myposte;phishing
http://beta.kenaidanceta.com/postamok/d39a2/source;phishing
http://www.ktplasmachinery.com/cs/;phishing
http://batvrms.net/deliver/D2017HL/u.php;phishing
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/bb14d7ff1fcbf29?cmd=_update&dispatch=bb14d7ff1fcbf29bb&locale=_us;phishing
https://polarklimatsgserver.blogspot.com/;phishing
http://secureupdate.appleld.com.duilawyeryork.com/ap/88b142e778d73f7;phishing
"http://www.inbioma.pe/rechnung-376440790464490488&amp;cgi3-viewkontakt-376440790464490488-007acctpagetype-376440790464490488=4674720-&amp;info@s-und-s-shop.de.html";phishing
http://mno.naomigoff.com/Apollo/bc28a52c2070ca93176244f59e1f19c6;phishing
http://xh167894743.el.r.appspot.com/;phishing
http://dichvuvnpt.com/home/components/com_user/bbtonline.html;phishing
http://swallowthisbitchpics.com/jpg/www.global.visa.com/myca/oce/emea/action/request_type=un_Activation/visa.html;phishing
http://realestateinvestordatabase.com/wp-content/plugins/portfolio-cpt/tax/login.php;phishing
http://vufd.hyperphp.com/amzn;phishing
http://www.courgeon-immobilier.fr/wp-content/uploads/2019/07/tpg/9ac6ba30463d0fb7974c06843717284c/;phishing
https://grassform-my.sharepoint.com/:b:/g/personal/accounts_grassform_co_uk/EYsmX_DhwSVAlooW1ETKf50BIChCl1rrAfmqvTLvySTLQQ?e=UbjoWA;phishing
http://hotmailsecure.brilliantbokeh.com/HotmailNEW/;phishing
"http://vaportotal.net/catalog/language/english/product/special/index.php?cid=474fe1ba8fa8cfd26e81532c7baac4a1&amp;SSID=d2b816c9e8292c96546684e342c2e77cd27f39cf";phishing
https://www.123formbuilder.com/form-4850478/;phishing
https://sura.careervidi.com/mot?fg=Z4Nwk2pibWKclbF2k29kaHd1YKCWjJyepKZdaXy0j2lj/koenig-sandra@online.de;phishing
http://phan.thuchao.free.fr/Hao/YouTube/ba.htm;phishing
